"OBJECTID_1","OBJECTID","SchoolID","County","SchoolName","Address","City","State","Zipcode","Website","SchoolType","coords.x1","coords.x2"
442,442,135876,"Guilford","The Covenant School","PO Box 10454","Greensboro","NC",27420,NA,"Religious",539033.833374563,258096.396002514
443,443,85578,"Iredell","Crossroads Chr Sch of Statesville","1950 Salisbury Hwy","Statesville","NC",28677,"www.ccsofstatesville.net","Religious",443261.256691845,224787.100380342
444,444,59862,"Mecklenburg","Chesterbrook Academy @ Birkdale","15115 Norman View Lane","Huntersville","NC",28078,"www.huntersville.chesterbrookacademy.com","Independent",437147.391446008,189129.039077634
445,445,59754,"Iredell","Eagles Refuge Academy","109 Eagles Refuge Drive","Statesville","NC",28625,NA,"Religious",432837.865267053,237447.099216267
446,446,59464,"Guilford","Tri-City Christian Academy","8000 Clinard Farms Road","High Point","NC",27265,"www.tricityschool.com","Religious",520650.844975181,256902.759337351
447,447,59483,"Iredell","Gethsemane Christian Academy","115 Gethsemane Road","Olin","NC",28660,NA,"Religious",440919.365445673,244511.460506469
448,448,59466,"Guilford","Vandalia Christian School","3919 Pleasant Garden Road","Greensboro","NC",27406,"www.vcsgso.com","Religious",539641.10514164,251352.099138582
449,449,108113,"Iredell","Goddard School of Mooresville","179 Townsquare Circle","Mooresville","NC",28117,NA,"Independent",440185.192097518,205214.887899434
450,450,118098,"Iredell","Hope Christian Academy","872 Fern Hill Rd.","Mooresville","NC",28117,NA,"Religious",437022.146950229,211598.902475178
451,451,59467,"Guilford","Wesleyan Christian Academy","1917 N. Centennial Street","High Point","NC",27262,"www.wesed.org","Religious",519382.404521866,248606.091932155
452,452,146718,"Guilford","You Are Our Future Academy","900 16th Street","Greensboro","NC",27405,NA,"Independent",539550.095924305,261980.478862571
453,453,134328,"Iredell","Independence Day Academy","724 Saint Cloud Drive","Statesville","NC",28625,NA,"Independent",445905.522966209,227578.99995032
454,454,103205,"Mecklenburg","Christ the King Catholic High School","2011 Crusader Way","Huntersville","NC",28078,"www.christthekinghs.com","Religious",438968.115765457,189738.322324956
455,455,94479,"Iredell","Liberty Preparatory Christian Acad.","246 Blume Road","Mooresville","NC",28117,"www.libertyprepnc.com","Religious",436735.917820495,204334.879730603
456,456,139103,"Guilford","YouthSpring School","PO Box 38338","Greensboro","NC",0,NA,"Independent",538013.88428359,257540.752537228
457,457,72629,"Iredell","Miss Cookie's Place School","317 East Church Street","Troutman","NC",28166,NA,"Religious",438929.576131043,218438.036290869
458,458,59623,"Halifax","Cornerstone Christian School","P.O. Box 608","Roanoke Rapids","NC",27870,NA,"Religious",730996.350862873,299861.429531809
459,459,59667,"Mecklenburg","Christian Montessori School","14101 Stumptown Road","Huntersville","NC",28078,"www.christianmontessorischool.org","Independent",441108.711078323,187211.142139796
460,460,59696,"Iredell","Mooresville Christian Academy","P.O. Box 114","Mooresville","NC",28115,"www.mooresvillechristianacademy.org","Religious",446025.912252273,205051.1627609
461,461,59867,"Mecklenburg","Student First Academy","2029 Mecklenburg Avenue","Charlotte","NC",28205,"www.studentfirstacademy.org","Independent",445628.480555051,165829.530269349
462,462,148246,"Iredell","Primrose School of Lake Norman","173 Raceway Drive","Mooresville","NC",28117,NA,"Independent",440189.676401153,205581.960420918
463,463,103188,"Mecklenburg","Talented Tenth Boys Acad of NC","PO Box 642","Charlotte","NC",28216,"www.tttbanc.org","Religious",440989.014494509,178207.356570197
464,464,59468,"Halifax","Halifax Academy","1400 Three Bridges Road","Roanoke Rapids","NC",27870,"www.halifaxacademy.org","Independent",728913.279906864,294564.655318743
465,465,59484,"Iredell","Southview Christian School","625 Wallace Springs Road","Statesville","NC",28677,"www.southviewbaptistministries.org","Religious",436420.567116302,222552.404244874
466,466,92093,"Mecklenburg","Teaching Achieving Students Acad","9200 University City Blvd.","Charlotte","NC",28213,"www.tasacademy.org","Religious",452383.212005489,173583.755623
467,467,142018,"Mecklenburg","Combine Academy","646 Matthew-Mint Hill Road","Matthews","NC",28105,NA,"Religious",453562.413105456,153063.071317511
468,468,59469,"Halifax","Hobgood Academy","201 S. Beech Street","Hobgood","NC",27843,"www.hobgoodacademy.com","Independent",754184.366146644,253813.27236362
469,469,59841,"Halifax","Miracle Tabernacle Christian Sch","P.O. Box 2128","Roanoke Rapids","NC",27870,NA,"Religious",730996.350862873,299861.429531809
470,470,118198,"Iredell","Springs Academy","PO Box 1","Barium Springs","NC",28010,NA,"Independent",437908.833069099,220105.886047903
471,471,59503,"Mecklenburg","The John Crosland School","5146 Parkway Plaza Blvd.","Charlotte","NC",28217,"www.johncroslandschool.org","Independent",436121.08672188,160346.391459038
472,472,145820,"Mecklenburg","Cornerstone Adventist Academy","11431 University City Boulevard","Charlotte","NC",28213,NA,"Religious",455675.402518685,174938.474091709
473,473,98713,"Halifax","New West Academy","PO Box 371","Weldon","NC",27890,NA,"Independent",735074.597142054,297727.90251253
474,474,59237,"Iredell","Statesville Christian School","1210 Museum Road","Statesville","NC",28625,"www.statesvillechristian.org","Religious",438567.900650891,229632.618007394
475,475,110342,"Harnett","A Little Bit of Johnathans House Chr Sch","155 Raleigh St.","Angier","NC",27501,NA,"Religious",633095.866278832,194747.817572175
476,476,131452,"Mecklenburg","Tools Academy Christian School","20823 B North Main St.","Cornelius","NC",28031,NA,"Religious",441069.287578977,194722.653432343
477,477,59240,"Harnett","AppleWorks Private School","2753 Old Stage Rd South","Erwin","NC",28339,"appleworksprivateschool.com","Independent",636056.07686882,178102.368839549
478,478,59332,"Iredell","Statesville Montessori School","1012 Harmony Drive","Statesville","NC",28677,"www.statesvillemontessori.com","Independent",440957.042109352,226968.496644704
479,479,59271,"Mecklenburg","Trinity Christian Preparatory School","7516 E. Indep. Blvd., Suite 100","Charlotte","NC",28227,"www.trinityprep.com","Religious",455010.593191019,161021.682488967
480,480,59470,"Harnett","Cape Fear Christian Academy","138 Erwin Chapel Road","Erwin","NC",28339,"www.capefearchristianacademy.org","Independent",637041.740660931,178439.402650377
481,481,59502,"Mecklenburg","Countryside Montessori Schools","9026 Mallard Creek Road","Charlotte","NC",28262,"www.countrysidemontessorischools.org","Independent",448425.56098519,176397.641067741
482,482,101286,"Iredell","The Learning Experience School","123 Legacy Village Blvd.","Mooresville","NC",28117,NA,"Independent",441961.211564604,200817.669817366
483,483,59784,"Harnett","Coats Christian Academy","P.O. Box 488","Coats","NC",27521,NA,"Religious",639479.546119385,183742.748058103
484,484,59823,"Mecklenburg","Trinity Episcopal School","750 East 9th Street","Charlotte","NC",28202,"www.tescharlotte.org","Religious",442903.217329842,165193.770138433
485,485,59337,"Mecklenburg","Covenant Day School","800 Fullwood Lane","Matthews","NC",28105,"www.covenantday.org","Religious",451627.138320368,153112.130230058
486,486,59816,"Iredell","Woodlawn School","135 Woodlawn Schol Loop","Mooresville","NC",28115,"www.woodlawnschool.org","Independent",443129.503976399,197651.876279984
487,487,100542,"Harnett","Dream Big Christian Academy K-12","PO Box 786","Dunn","NC",28335,"www.dreambigchristianacademy.com","Religious",647114.417474602,171968.081095047
488,488,59752,"Harnett","Faith Education Academy","111 North Layton Avenue","Dunn","NC",28334,"www.faitheducationacademync.com","Religious",644785.721999194,173198.875164963
489,489,59515,"Mecklenburg","United Faith Christian Academy","8617 Providence Road","Charlotte","NC",28277,"www.ufca.org","Religious",447749.240714604,150072.023029771
490,490,79121,"Jackson","Academy at SOAR","PO Box 388","Balsam","NC",28707,"www.academyatsoar.org","Independent",238859.097804928,193889.193187973
491,491,79119,"Jackson","Heritage Christian Academy","P.O. Box 2138","Sylva","NC",28779,"www.hcaofsylva.org","Religious",226453.631761756,188504.314020516
492,492,59471,"Harnett","Foundations Christian Academy","P.O. Box 1166","Dunn","NC",28335,NA,"Religious",647114.417474602,171968.081095047
493,493,59336,"Mecklenburg","Victory Christian Center School","1501 Carrier Drive","Charlotte","NC",28216,"www.vccskings.com","Religious",440616.10968146,170488.581629682
494,494,92081,"Harnett","Hall, Hudson, Lovette Christian Acad.","P.O. Box 1503","Dunn","NC",28335,NA,"Religious",647114.417474602,171968.081095047
495,495,59485,"Jackson","Victory Christian School","278 Victory Church Road","Sylva","NC",28779,"www.mountainvictory.org","Religious",218886.801859011,176804.569140825
496,496,115760,"Mecklenburg","Crossway Academy","9129 Monroe Rd, Ste 100-105","Charlotte","NC",28270,NA,"Independent",450738.702247961,156258.707064141
