"SchoolName","Address","City","Zipcode","County","geometry"
"Avery's Creek Elementary","15 Park South Boulevard","Arden",28704,"Buncombe",c(284873.311800003, 197414.296700001)
"Valley Springs Middle","224 Long Shoals Road","Arden",28704,"Buncombe",c(288330.6875, 198111.906399999)
"Weaverville Primary","39 S Main Street","Weaverville",28787,"Buncombe",c(287414.187600002, 221531.1875)
"Weaverville Elementary","129 S Main Street","Weaverville",28787,"Buncombe",c(287241.5625, 220913.906199999)
"North Buncombe Middle","51 N Buncombe School Road","Weaverville",28787,"Buncombe",c(287749.843699999, 223805.656100001)
"Owen Middle","730 Old US 70","Swannanoa",28778,"Buncombe",c(303761.031099997, 211238.125100002)
"Community High School","235 Old US 70","Swannanoa",28778,"Buncombe",c(301235.750100002, 210821.843600001)
"Johnston Elementary","230 Johnston Boulevard","Asheville",28806,"Buncombe",c(281625.281300001, 209766.3123)
"George Hildebrand Elementary","8078 G Hildebrand Sch Road","Connelly Springs",28612,"Burke",c(382016.0625, 212215.1043)
"Hildebran Elementary","703 US Hwy 70 West","Hildebran",28637,"Burke",c(390121.812600002, 220625.890799999)
"East Burke Middle","3519 Miller Bridge Road","Icard",28612,"Burke",c(386311.593900003, 220764.953200001)
"East Burke High","3695 East Burke Boulevard","Connelly Springs",28612,"Burke",c(385123.5, 221570.031199999)
"Icard Elementary","3087 Icard School Road","Connelly Springs",28612,"Burke",c(386302.781099997, 222329.890799999)
"Rutherford College Elem","170 Honeycutt Drive","Rutherford College",28671,"Burke",c(381411.437299997, 225235.1096)
"Drexel Elementary","101 Alta Vista Street","Drexel",28619,"Burke",c(373684.437600002, 224973.124899998)
"Mull Elementary","1140 Old NC 18 South","Morganton",28655,"Burke",c(368957.437299997, 220026.875100002)
"Table Rock Middle","1581 NC 126","Morganton",28655,"Burke",c(359191.312700003, 225877.578200001)
"Oak Hill Elementary","2363 NC 181","Morganton",28655,"Burke",c(360380.187600002, 228299.3594)
"Bethel Elementary","2425 Midland Road","Midland",28107,"Cabarrus",c(470011.031800002, 166485.368099999)
"A T Allen Elementary","3939 Abilene Rd","Concord",28025,"Cabarrus",c(469349.843800001, 180238.031399999)
"Central Cabarrus High","505 Hwy 49 S","Concord",28025,"Cabarrus",c(465699.437299997, 180046.187600002)
"Harrisburg Elementary","3900 Stallings Road","Harrisburg",28075,"Cabarrus",c(460411.064199999, 175289.4476)
"Wolf Meadow Elementary","150 Wolf Meadow Drive SW","Concord",28027,"Cabarrus",c(461813.843699999, 181596.1248)
"Weddington Hills Elementary","4401 Weddington Road","Concord",28025,"Cabarrus",c(459797.656300001, 184086.874899998)
"Mount Pleasant Elementary","8555 North Drive","Mt Pleasant",28124,"Cabarrus",c(479588.156300001, 185901.124899998)
"Collettsville School","4690 Collettsville School Rd","Collettsville",28611,"Caldwell",c(368438.6875, 244800.5156)
"Gamewell Middle","3210 Gamewell School Road","Lenoir",28645,"Caldwell",c(374952.1875, 238348.453299999)
"West Caldwell High","300 W Caldwell Drive","Lenoir",28645,"Caldwell",c(375626.499799997, 240087.796700001)
"Happy Valley Elementary","1350 Yadkin River Road","Lenoir",28645,"Caldwell",c(378752.624899998, 252082.407699998)
"Hibriten High","1350 Panther Trail SE","Lenoir",28645,"Caldwell",c(384490.406300001, 244210.703299999)
"Sawmills Elementary","4436 Sawmills School Road","Granite Falls",28630,"Caldwell",c(385590.624899998, 232306.5627)
"Oak Hill Elementary","4603 Oak Hill School Road","Lenoir",28645,"Caldwell",c(391439.531099997, 241364.8281)
"Kings Creek Elementary","3680 Wilkesboro Boulevard","Lenoir",28645,"Caldwell",c(393120.687299997, 251314.843899999)
"Atlantic Elementary","151 School Drive","Atlantic",28511,"Carteret",c(852468.250100002, 128963.218899999)
"Broad Creek Middle","2382 Hwy 24","Newport",28570,"Carteret",c(800639.687600002, 110664.2656)
"Newport Elementary","219 Chatham Street","Newport",28570,"Carteret",c(805450.812399998, 117517.140500002)
"East Carteret High","3263 Hwy 70 E","Beaufort",28516,"Carteret",c(826324.812399998, 117005.523600001)
"Harkers Island Elementary","1163 Island Road","Harkers Island",28531,"Carteret",c(833894.812700003, 107483.203200001)
"Smyrna Elementary","174 Marshallberg Road","Smyrna",28579,"Carteret",c(835849.6875, 114598.109299999)
"Balls Creek Elementary","2620 Balls Creek Road","Newton",28658,"Catawba",c(416810.249799997, 210664.4219)
"Blackburn Elementary","4377 W NC 10 Hwy","Newton",28658,"Catawba",c(398464.75, 209411.4531)
"Bunker Hill High","4675 Oxford School Road","Claremont",28610,"Catawba",c(417945.906300001, 224319.531300001)
"Claremont Elementary","3384 E Main Street","Claremont",28610,"Catawba",c(415731.968800001, 220221.093800001)
"Sherrills Ford Elementary","8103 Sherrills Ford Road","Sherrills Ford",28673,"Catawba",c(429551.406300001, 209399.249899998)
"Webb A Murray Elementary","3901 Section House Road","Hickory",28601,"Catawba",c(406005.499899998, 223018.7344)
"Casar Elementary","436 Schoolhouse Road","Casar",28020,"Cleveland",c(371935.124899998, 198079.593899999)
"Washington Elementary","1907 Stony Point Road","Shelby",28150,"Cleveland",c(389467.781199999, 178575.218699999)
"VanceboroFarm Life Elementary","2000 Farm Life Avenue","Vanceboro",28586,"Craven",c(778105.125, 174329.291999999)
"West Craven High","2600 Streets Ferry Road","Vanceboro",28586,"Craven",c(779127.125, 166594.531199999)
"Arthur W Edwards Elementary","200 Education Lane","Havelock",28532,"Craven",c(798922.6875, 130654.781300001)
"W Jesse Gurganus Elementary","535 Hwy 70 W","Havelock",28532,"Craven",c(797679.5, 130676.882800002)
"Roger R Bell Elementary","804 Fontana Boulevard","Havelock",28532,"Craven",c(803309.499899998, 127543.0779)
"William R Davie Elementary","3437 US Hwy 601 N","Mocksville",27028,"Davie",c(463275.374899998, 248620.6877)
"Cooleemee Elementary","136 Marginal Street","Cooleemee",27014,"Davie",c(469266.0625, 230233.937399998)
"South Davie Middle","700 Hardison Street","Mocksville",27028,"Davie",c(468013.656199999, 238133.687399998)
"Davie County High","1200 Salisbury Road","Mocksville",27028,"Davie",c(469390.218699999, 236573.6252)
"Lexington Middle School","100 W Hemstead Street","Lexington",27292,"Davidson",c(497047.906199999, 231845.9531)
"Northwest Elementary","400 Northwest Elementary Rd","Lexington",27295,"Davidson",c(492204.593599997, 243939.328200001)
"Central Davidson Middle","2591 NC Hwy 47","Lexington",27292,"Davidson",c(498834.75, 221595.187600002)
"Central Davidson High","2747 NC Hwy 47","Lexington",27292,"Davidson",c(499104.906300001, 221409.406199999)
"Churchland Elementary","7571 S NC Hwy 150","Lexington",27295,"Davidson",c(481546.875200003, 226663.8281)
"West Davidson High","200 Dragon Drive","Lexington",27295,"Davidson",c(486167.687700003, 228664.968600001)
"Reeds Elementary","791 South NC Hwy 150","Lexington",27295,"Davidson",c(489186.375100002, 232965.500100002)
"Silver Valley Elementary","11161 East Old Hwy 64","Lexington",27292,"Davidson",c(509942, 220492.390700001)
"South Davidson High","14956 South NC Hwy 109","Denton",27239,"Davidson",c(509723.218900003, 213916.4844)
"Ledford Middle","3954 N NC Hwy 109","Thomasville",27360,"Davidson",c(508536.968699999, 244401.609499998)
"Welcome Elementary","5701 Old Hwy 52","Lexington",27295,"Davidson",c(496032.968699999, 239575.0469)
"Southwood Elementary","5850 NC Hwy 8","Lexington",27292,"Davidson",c(494908.4375, 220696.1873)
"G W Bulluck Elementary","3090 Bulluck School Road","Rocky Mount",27801,"Edgecombe",c(725146.500100002, 237386.3127)
"West Edgecombe Middle","6301 Nobles Mill Pond Road","Rocky Mount",27801,"Edgecombe",c(723553.812700003, 239756.625100002)
"G W Carver Elementary","700 East Hamlet Street","Pinetops",27864,"Edgecombe",c(733359.999899998, 226934.281100001)
"South Edgecombe Middle","230 PinetopsCrisp Road","Pinetops",27864,"Edgecombe",c(732262.4375, 225673.968600001)
"SouthWest Edgecombe High","5912 NC 43 North","Pinetops",27864,"Edgecombe",c(730788.875100002, 232256.109299999)
"CokerWimberly Elementary","1619 NC 97 West","Battleboro",27809,"Edgecombe",c(735490.187399998, 247990.093600001)
"North Edgecombe High","7589 NC 33NW","Tarboro",27886,"Edgecombe",c(737468.062600002, 249383.1252)
"Phillips Middle","4371 BattleboroLeggett Road","Battleboro",27809,"Edgecombe",c(728063.437700003, 250596.750100002)
"W A Pattillo A+ Elementary Sch","501 East Avenue","Tarboro",27886,"Edgecombe",c(742792, 240060.578000002)
"Bessemer City Primary","1320 North 12th Street","Bessemer City",28016,"Gaston",c(402649.062399998, 174363.2971)
"Bessemer City High","119 Yellow Jacket Lane","Bessemer City",28016,"Gaston",c(402139.968800001, 174007.4529)
"Bessemer City Central Elem","1400 Puett's Chapel Road","Bessemer City",28016,"Gaston",c(402748.5506, 174441.967)
"Bessemer City Middle","525 Ed Wilson Road","Bessemer City",28016,"Gaston",c(400367.624799997, 171341.468800001)
"Tryon Elementary","2620 Tryon Courthouse Road","Bessemer City",28016,"Gaston",c(398458.6875, 178998.546999998)
"Bess Elementary","4340 Beaty Road","Gastonia",28056,"Gaston",c(415282.593800001, 161638.6252)
"McAdenville Elementary","275 E Weslyan Drive","McAdenville",28101,"Gaston",c(420572.468699999, 168720.8123)
"South Point High","906 S Point Road","Belmont",28012,"Gaston",c(424045.437399998, 165290.937399998)
"Webb St","1623 N Webb Street","Gastonia",28052,"Gaston",c(408316.718599997, 170265.4531)
"Springfield Primary","900 S Main Street","Stanley",28164,"Gaston",c(419077.000100002, 179273.7029)
"Rankin Elementary","301 W Central Avenue","Mount Holly",28120,"Gaston",c(425719.25, 173549.5469)
"G. C. Hawley Middle","2173 Brassfield Road","Creedmoor",27522,"Granville",c(639223.937700003, 261700.0627)
"Creedmoor Elementary","305 E Wilton Avenue","Creedmoor",27522,"Granville",c(638554.4375, 263332.031199999)
"Wilton Elementary","2555 Hwy 96","Franklinton",27525,"Granville",c(647376.3125, 265849.999899998)
"Joe TolerOak Hill Elementary","8176 Hwy 96","Oxford",27565,"Granville",c(633627.312600002, 301092.406100001)
"StovallShaw Elementary","7696 Hwy 15 N","Stovall",27582,"Granville",c(647578.937600002, 298325.75)
"Greene Central High","140 School Drive","Snow Hill",28580,"Greene",c(730282.999799997, 192713.296799999)
"Greene County Middle","485 Middle School Road","Snow Hill",28580,"Greene",c(730350.124899998, 194018.3748)
"Riverbend Elementary","71 Learning Lane","Clyde",28721,"Haywood",c(253088.000100002, 211956.140700001)
"Clyde Elementary","4182 Old Clyde Road","Clyde",28721,"Haywood",c(254906.640699998, 204944.718899999)
"Central Haywood High","3215 Broad Street","Clyde",28721,"Haywood",c(254974.078100003, 204737.453200001)
"Meadowbrook Elementary","85 Morningstar Rd","Canton",28716,"Haywood",c(262567.531199999, 202453.859499998)
"Pisgah High","1 Black Bear Drive","Canton",28716,"Haywood",c(261327.515600003, 203324.0469)
"Tuscola High","564 Tuscola School Rd","Waynesville",28786,"Haywood",c(251291.593900003, 203810.7969)
"Hazelwood Elementary","1111 Plott Creek Road","Waynesville",28786,"Haywood",c(245438.841300003, 199116.495299999)
"Mills River Elementary","94 School House Road","Mills River",28759,"Henderson",c(285593.593599997, 186301.218899999)
"Balfour Education Center","2529 Asheville Highway","Hendersonville",28792,"Henderson",c(293705.0898, 182915.272300001)
"Edneyville Elementary","2875 Pace Road","Hendersonville",28792,"Henderson",c(303451.6875, 185284.531300001)
"Dana Elementary","690 Ridge Road","Dana",28724,"Henderson",c(302975.593699999, 181440.390700001)
"Etowah Elementary","320 Etowah School Road","Etowah",28729,"Henderson",c(283418.125200003, 179474.1721)
"Hendersonville Middle","825 North Whitted Street","Hendersonville",28791,"Henderson",c(293861.843699999, 179921.703299999)
"Hendersonville High","1 Bearcat Boulevard","Hendersonville",28791,"Henderson",c(294700.718900003, 179916.390500002)
"Central Elementary","4083 Wilkesboro Hwy","Statesville",28677,"Iredell",c(432672, 243335.453000002)
"Scotts Elementary","4743 Taylorsville Hwy","Statesville",28625,"Iredell",c(427686.031199999, 234143.0625)
"West Iredell High","213 Warrior Dr","Statesville",28677,"Iredell",c(429618.062600002, 228517.4998)
"West Iredell Middle","303 Watermelon Rd","Statesville",28677,"Iredell",c(430073.875100002, 227587.203299999)
"Sharon Elementary","880 Sharon Sch Rd","Statesville",28677,"Iredell",c(423286.687399998, 226041.7656)
"East Iredell Elementary","400 E Elementary Rd","Statesville",28625,"Iredell",c(443632.937700003, 229399.734200001)
"East Iredell Middle","590 Chestnut Grove Road","Statesville",28625,"Iredell",c(447921.562299997, 232948.265799999)
"Brawley Middle","132 Swift Arrow Drive","Mooresville",28117,"Iredell",c(439466.000100002, 204906.703000002)
"Lake Norman Elementary","255 Oak Tree Road","Mooresville",28117,"Iredell",c(438007.437299997, 204468.8594)
"Mount Mourne School","1431 Mecklenburg Hwy","Mooresville",28115,"Iredell",c(442284.875100002, 200846.0625)
"East Lincoln Middle","4137 Hwy 73","Iron Station",28080,"Lincoln",c(419599.093800001, 193403.078000002)
"Rock Springs Elementary","3633 Hwy 16 N","Denver",28037,"Lincoln",c(425856.875, 199289.515700001)
"North Brook Elementary","642 Hwy 274","Vale",28168,"Lincoln",c(386989.374899998, 196293.7346)
"East Lincoln High","6471 Hwy 73","Denver",28037,"Lincoln",c(425732.875, 190941.812600002)
"Iron Station Elementary","4207 Hwy 27 E","Iron Station",28080,"Lincoln",c(413032.312700003, 191866.718899999)
"LCST","1 Timken Dr","Lincolnton",28092,"Lincoln",c(406625.874799997, 194048.531399999)
"Love Memorial Elementary","1463 Love Memorial Sch Rd","Lincolnton",28092,"Lincoln",c(402986.124899998, 190869.874899998)
"Hot Springs Elementary","63 Serpentine Ave","Hot Springs",28743,"Madison",c(263724.559100002, 244317.2892)
"Madison High","5740 US Hwy 2570","Marshall",28753,"Madison",c(277691.437700003, 235269.078299999)
"Laurel Elementary","4100 Highway 212","Marshall",28753,"Madison",c(275280.718599997, 250803.218800001)
"Madison Middle","95 Upper Brush Creek Rd","Marshall",28753,"Madison",c(274191.799900003, 238317.3442)
"West Marion Elementary","820 Marler Road","Marion",28752,"McDowell",c(332394.406099997, 211907.1096)
"North Cove Elementary","401 American Thread Road","Marion",28752,"McDowell",c(339491.687399998, 235555.375100002)
"Pleasant Gardens Elementary","100 John Roach Drive","Marion",28752,"McDowell",c(331682.8125, 219715.468800001)
"McDowell High","600 McDowell High School Dr","Marion",28752,"McDowell",c(334845.093599997, 220109.015700001)
"West McDowell Junior High","346 McDowell High School Rd","Marion",28752,"McDowell",c(334520.500100002, 220541.718899999)
"Nebo Elementary","254 Nebo School Road","Nebo",28761,"McDowell",c(344683.656199999, 221805.640700001)
"Mitchell High","416 Ledger School Rd","Bakersville",28705,"Mitchell",c(328470.343800001, 250729.9221)
"Bowman Middle","410 S Mitchell Avenue","Bakersville",28705,"Mitchell",c(325171.750200003, 255296.421999998)
"Gouge Elementary","134 Laurel Street","Bakersville",28705,"Mitchell",c(325510.062399998, 255558.2502)
"Montgomery Learning Academy","310 S Main","Troy",27371,"Montgomery",c(528306.912500001, 178455.132300001)
"Star Elementary","302 S Main Street","Star",27356,"Montgomery",c(538407.9375, 182851.968699999)
"East Montgomery High","157 Eagle Lane","Biscoe",27209,"Montgomery",c(539288.624899998, 176305.390700001)
"East Middle","1834 S US 220 Alt Hwy","Biscoe",27209,"Montgomery",c(539822.562700003, 175402.453000002)
"Mount Gilead Elementary","100 School Street","Mount Gilead",27306,"Montgomery",c(518339.281400003, 162972.796999998)
"West Middle","129 NC Hwy 109S","Mount Gilead",27306,"Montgomery",c(523690.312600002, 174516.093699999)
"West Montgomery High","147 Warrior Drive","Mount Gilead",27306,"Montgomery",c(522292.874899998, 171932.374899998)
"Seawell Elementary","9115 Seawell School Rd","Chapel Hill",27516,"Orange",c(602526.437399998, 243048.312399998)
"Frank Porter Graham Elem","101 Smith Level Rd","Chapel Hill",27516,"Orange",c(603114, 238517.780999999)
"Glenwood Elementary","2 Prestwick Rd","Chapel Hill",27517,"Orange",c(607249.499799997, 239263.7344)
"UNC Hospital School","101 Manning Dr","Chapel Hill",27514,"Orange",c(604834.437299997, 239285.250100002)
"Estes Hills Elementary","500 N Estes Dr","Chapel Hill",27514,"Orange",c(605705.874899998, 242532.328000002)
"Guy B. Phillips Middle","606 N Estes Dr","Chapel Hill",27514,"Orange",c(605399.5625, 242540.937399998)
"Efland Cheeks Elementary","4401 Fuller Rd","Efland",27243,"Orange",c(592593.5625, 258807.156300001)
"New Hope Elementary","1900 New Hope Church Rd","Chapel Hill",27514,"Orange",c(602802.812600002, 251775.062600002)
"Saluda Elementary","214 E Main Street","Saluda",28773,"Polk",c(305244.906400003, 170047.906199999)
"Polk County High","1681 East NC 108 Hwy","Columbus",28722,"Polk",c(319911.625, 172748.9219)
"Polk Central","2141 South NC9 Hwy","Mill Spring",28756,"Polk",c(325198.093599997, 175141.953000002)
"Liberty Elementary","206 N Fayetteville St","Liberty",27298,"Randolph",c(558098.312600002, 233697.937600002)
"Grays Chapel Elementary","5322 NC Hwy 22 N","Franklinville",27248,"Randolph",c(546495.999899998, 229923.609299999)
"Eastern Randolph High","390 E Randolph Rd","Ramseur",27316,"Randolph",c(553744.937299997, 222590.9375)
"Franklinville Elementary","162 Pine St","Franklinville",27248,"Randolph",c(546898.937700003, 221766.812399998)
"Coleridge Elementary","4528 NC Hwy 22 South","Coleridge",27316,"Randolph",c(553759.874899998, 210461.1873)
"Braxton Craven Middle","7037 NC Highway 62","Trinity",27370,"Randolph",c(520037.531199999, 238224.078200001)
