"SchoolName","Address","City","Zipcode","County","geometry"
"Alexander Wilson Elementary","2518 NC 54","Graham",27253,"Alamance",c(578443.624799997, 252865.546700001)
"Edwin M Holt Elementary","4751 S NC 62","Burlington",27215,"Alamance",c(565487.687299997, 252066.5156)
"Grove Park Elementary","141 Trail One","Burlington",27215,"Alamance",c(568098.437700003, 258589.593600001)
"Bethlehem Elementary","7900 NC Hwy 127","Taylorsville",28681,"Alexander",c(400810.062600002, 233953.359200001)
"Ellendale Elementary","175 Ellendale Park Lane","Taylorsville",28681,"Alexander",c(404004.291699998, 243980.664999999)
"Stony Point Elementary","311 Stony Point School Road","Stony Point",28678,"Alexander",c(424750.499799997, 237066.5623)
"Sugar Loaf Elementary","3600 NC Hwy 16N","Taylorsville",28681,"Alexander",c(411917.531099997, 248477.9373)
"Wittenburg Elementary","7300 Church Road","Taylorsville",28681,"Alexander",c(407095.8367, 232676.9903)
"Glade Creek Elementary","32 Glade Creek Sch Road","Ennice",28623,"Alleghany",c(432232.999899998, 306902.5623)
"Alleghany High","404 Trojan Avenue","Sparta",28675,"Alleghany",c(419475.937600002, 308593.4375)
"PeachlandPolkton Elem","9633 Hwy 74 W","Peachland",28133,"Anson",c(497200.656400003, 138951.5)
"Morven Elementary","6715 Hwy 52 S","Morven",28119,"Anson",c(517536.124899998, 125823.6642)
"Anson High School","96 Anson High School Road","Wadesboro",28170,"Anson",c(508913.781099997, 136779.375100002)
"Anson Middle","832 US Hwy 52 N","Wadesboro",28170,"Anson",c(510153.406099997, 138011.671999998)
"Wadesboro Elementary","321 Camden Road","Wadesboro",28710,"Anson",c(511049.593699999, 134994.062399998)
"Wadesboro Primary","1542 Hwy 52 S","Wadesboro",28170,"Anson",c(513151.029200003, 132858.839200001)
"Blue Ridge Elementary","5778 NC Hwy 88 W","Warrensville",28693,"Ashe",c(382636, 303701.625)
"Mountain View Elementary","2789 Hwy 221 N","Jefferson",28640,"Ashe",c(390557.937600002, 300445.781199999)
"Banner Elk Elementary","155 Orchard Lane","Banner Elk",28604,"Avery",c(351399.937399998, 271371.625100002)
"Riverside Elementary","8020 US 19E Hwy South","Newland",28657,"Avery",c(337377.249899998, 252613.718899999)
"Crossnore Elementary","1000 Walt Clark Road","Crossnore",28616,"Avery",c(345985.902599998, 256355.893599998)
"Newland Elementary","750 Linville Street","Newland",28657,"Avery",c(346422.198399998, 262590.208999999)
"Avery County High","401 High School Road","Newland",28657,"Avery",c(346679.282399997, 260952.4208)
"Pisgah Elementary","1495 Pisgah Hwy","Candler",28715,"Buncombe",c(271132.124899998, 200893.0154)
"Enka High","475 Enka Lake Road","Candler",28715,"Buncombe",c(277165.781099997, 203630.8594)
