Zipcode.x,SchoolName,Zipcode_first,Address,City,Zipcode.y,County,X,Y
27610,East Garner Middle,276,NA,NA,NA,NA,-78.58609285,35.70234529
27606,East Garner Middle,276,NA,NA,NA,NA,-78.58609285,35.70234529
27529,East Garner Middle,275,6301 Jones Sausage Rd,Garner,27529,Wake,-78.58609285,35.70234529
27606,East Garner Middle,276,NA,NA,NA,NA,-78.58609285,35.70234529
27615,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27604,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27604,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27604,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27610,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27604,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27605,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27604,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27605,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27604,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27605,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27605,East Millbrook Middle,276,3801 Spring Forest Rd,Raleigh,27616,Wake,-78.57340124,35.85752459
27616,East Wake High,276,NA,NA,NA,NA,-78.424657,35.810901
27597,East Wake High,275,NA,NA,NA,NA,-78.424657,35.810901
27597,East Wake High,275,NA,NA,NA,NA,-78.424657,35.810901
27610,East Wake Middle,276,2700 Old Milburnie Rd,Raleigh,27604,Wake,-78.50216515,35.82634257
27606,Farmington Woods Elementary,276,NA,NA,NA,NA,-78.774601,35.757938
27614,Forest Pine Elementary,276,NA,NA,NA,NA,-78.547887,35.953001
27587,Forestville Road Elementary,275,100 Lawson Ridge Road,Knightdale,27545,Wake,-78.48183103,35.81061728
27591,Forestville Road Elementary,275,100 Lawson Ridge Road,Knightdale,27545,Wake,-78.48183103,35.81061728
27591,Forestville Road Elementary,275,100 Lawson Ridge Road,Knightdale,27545,Wake,-78.48183103,35.81061728
27545,Forestville Road Elementary,275,100 Lawson Ridge Road,Knightdale,27545,Wake,-78.48183103,35.81061728
27587,Forestville Road Elementary,275,100 Lawson Ridge Road,Knightdale,27545,Wake,-78.48183103,35.81061728
27591,Forestville Road Elementary,275,100 Lawson Ridge Road,Knightdale,27545,Wake,-78.48183103,35.81061728
27591,Forestville Road Elementary,275,100 Lawson Ridge Road,Knightdale,27545,Wake,-78.48183103,35.81061728
27610,Forestville Road Elementary,276,NA,NA,NA,NA,-78.48183103,35.81061728
27610,Forestville Road Elementary,276,NA,NA,NA,NA,-78.48183103,35.81061728
27604,Fox Road Elementary,276,7101 Fox Rd,Raleigh,27616,Wake,-78.55536134,35.87293249
27604,Fox Road Elementary,276,7101 Fox Rd,Raleigh,27616,Wake,-78.55536134,35.87293249
27616,Fox Road Elementary,276,7101 Fox Rd,Raleigh,27616,Wake,-78.55536134,35.87293249
